species,image_url
"Half-collared Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/324776/small.jpg
"Pied Kingfisher
",https://inaturalist-open-data.s3.amazonaws.com/photos/680631/small.jpg
"Crowned Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/25794/small.jpg
"Von der Decken's Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/33620/small.jpg
"Red-billed Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/63686/small.jpg
"African Pied Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/16525/small.jpg
"Eastern Yellow-bellied Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/645164/small.jpg
"Hemprich's Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/645870/small.jpg
"Jackson's Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/645874/small.jpg
"African Grey Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/82082/small.jpg
"Northern Ground Hornbill
",https://inaturalist-open-data.s3.amazonaws.com/photos/3665/small.jpg
"Cape Turtle Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/22745/small.jpg
"African Mourning Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/137050/small.jpg
"Dusky Turtle-Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/220404/small.jpg
"White-winged Collared-Dove
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Red-eyed Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/20792/small.jpg
"Vinaceous Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/350955/small.jpg
"Rameron Pigeon
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Delegorgue's Pigeon
",https://inaturalist-open-data.s3.amazonaws.com/photos/220408/small.jpg
"Speckled Pigeon
",https://inaturalist-open-data.s3.amazonaws.com/photos/22746/small.jpg
"Black-billed Wood-Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/711005/small.jpg
"Blue-spotted Wood-Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/800057/small.jpg
"Emerald-spotted Wood-Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/171772/small.jpg
"Tambourine Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/708932/small.jpg
"African Green Pigeon
",https://inaturalist-open-data.s3.amazonaws.com/photos/25745/small.jpg
"Bruce's Green-Pigeon
",https://inaturalist-open-data.s3.amazonaws.com/photos/135844/small.jpg
"Namaqua Dove
",https://inaturalist-open-data.s3.amazonaws.com/photos/46720/small.jpg
"Blue-naped Mousebird
",https://inaturalist-open-data.s3.amazonaws.com/photos/657294/small.jpg
"White-headed Mousebird
",https://inaturalist-open-data.s3.amazonaws.com/photos/863784/small.jpg
"Speckled Mousebird
",https://inaturalist-open-data.s3.amazonaws.com/photos/161352/small.jpg
"Abdim's Stork
",https://inaturalist-open-data.s3.amazonaws.com/photos/228937/small.jpg
"White Stork
",https://inaturalist-open-data.s3.amazonaws.com/photos/104665/small.jpg
"Woolly-necked Stork
",https://inaturalist-open-data.s3.amazonaws.com/photos/152467/small.jpg
"Black Stork
",https://inaturalist-open-data.s3.amazonaws.com/photos/55237/small.jpg
"Yellow-billed Stork
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Saddle-billed Stork
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"African Openbilled Stork
",https://inaturalist-open-data.s3.amazonaws.com/photos/21248/small.jpg
"Little Crake
",https://inaturalist-open-data.s3.amazonaws.com/photos/8819/small.jpg
"Spotted Crake
",https://inaturalist-open-data.s3.amazonaws.com/photos/8817/small.jpg
"Baillon's Crake
",https://inaturalist-open-data.s3.amazonaws.com/photos/232373/small.jpg
"Black Crake
",https://inaturalist-open-data.s3.amazonaws.com/photos/56392/small.jpg
"African Rail
",https://inaturalist-open-data.s3.amazonaws.com/photos/324778/small.jpg
"Lesser Moorhen
",https://inaturalist-open-data.s3.amazonaws.com/photos/648314/small.jpg
"Corn Crake
",https://inaturalist-open-data.s3.amazonaws.com/photos/8801/small.jpg
"Red-knobbed Coot
",https://inaturalist-open-data.s3.amazonaws.com/photos/8795/small.jpg
"Allen's Gallinule
",https://inaturalist-open-data.s3.amazonaws.com/photos/648318/small.jpg
"Purple Swamphen
",https://inaturalist-open-data.s3.amazonaws.com/photos/7223/small.jpg
