species,image_url,image_filename
Gray Apalis,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Yellow-breasted Apalis,https://inaturalist-open-data.s3.amazonaws.com/photos/258458/small.jpg,c1dff3481a25891230338cb6b4d7da7f0ce9e2b0.jpg
Black-throated Apalis,https://inaturalist-open-data.s3.amazonaws.com/photos/771494/small.jpg,5adcc39008c845bf30210bdbfcdf84c3b016022a.jpg
Karamoja Apalis,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Black-headed Apalis,https://inaturalist-open-data.s3.amazonaws.com/photos/771477/small.jpg,b7dcc629703342d5c9ffad28f057eb20d9ec3e4b.jpg
Chestnut-throated Apalis,https://inaturalist-open-data.s3.amazonaws.com/photos/771480/small.jpg,8b39c84194c6944539851ad1d0c7bc58d60e541c.jpg
Gray-capped Warbler,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
White-necked Raven,https://inaturalist-open-data.s3.amazonaws.com/photos/35092/small.jpg,d6c55fece690f2984696d8c974d2f6ba7e202d76.jpg
Pied Crow,https://inaturalist-open-data.s3.amazonaws.com/photos/32121/small.jpg,a6a9f0268179eb7d560612e6ccee1f0f1fbf4c8f.jpg
Cape Crow,https://inaturalist-open-data.s3.amazonaws.com/photos/151745/small.jpg,18825ddbbaf8d15ae11ff935e0e14e6eae8d7030.jpg
